comment_id,text,likes,author,author_id,timestamp,time_text,is_pinned
Ugy-AHY2JDmsqTd1MhV4AaABAg,ሰለሞን ብርቱ ጋዜጠኛ እና ሀይለኛ አሰላሳይ ነህ። ይህ ስለሆነ ይመስለኛል ውይይቱ ላይ ከእንግዳው ንግግር መሀል በብዛት ስትገባ ተሰምቶኛል። ይገባኛል ግን ትንሽ ተናጋሪዎች ባላቸው አቅም እንዲናገሩ ብትተዋቸው መልካም ነው እላለው። let the guests experiences dominate with all the limitations to your capacity.,17,@yalemsewadela8998,UCOSESPSK1prGcrgh0v_09Ow,1749600000,3 weeks ago (edited),False
Ugy-AHY2JDmsqTd1MhV4AaABAg.AJ5PbGDG1axAJACWfI1AY9,"@yalemsewadela8998   wow u speak exactly what i want tnx , he have to let the guests to explain to speak",0,@Ras-i12,UCbxDTr33Ufn2VklS-cjYpdA,1749600000,3 weeks ago,False
Ugy-AHY2JDmsqTd1MhV4AaABAg.AJ5PbGDG1axAJGb_rhzwVk,You spoke what I really wanted to say. እንደነ ቢጃይ የመሰሉ ሰዎች ብዙ ግዜ ስለማይገኙ በተገኙበት አጋጣሚ ብዙ ሐሳባቸውን እንዲገልጹ መተውና ዕድሉን መስጠት ተገቢ ነው እላለው፣ ጋዜጠኛው አለማድነቅ ግን አይቻልም በጣም ጀግና ጠያቂ ነው እውቀትም አለው,0,@MORNINGSTAR21712,UCd7PaPKWG-dd8f58uDFrkqw,1750204800,2 weeks ago,False
UgxGdT-fDaJFZSZLDB94AaABAg,ሰለሞን እንዳንተ አይነቱን ብሎም እንደ ቢጂአይ አይነት ሰዎችን ሳይ ሀገሬ ተስፋ እንዳላት ይሰማኛል❤,3,@selam8833,UCgz04ywzxTI5rlgoB0QNNdw,1749600000,3 weeks ago,False
UgwYkblyPdssHnoIKPN4AaABAg,"በጣም ጥሩ ኘሮግራም ነበረ..እንግዳው አንዳንድ ነገሮችን ለመግለፅ ሲሞክር"" እንትና"" በማለት ያልፈዋል .የብዙ ሰዎች ችግር ነው '""እንትን""መሠረታዊ መልዕክቱን ያዛባል :",4,@benai5241,UCqEJfsrBTqLmlBwf1kHqs7A,1749600000,3 weeks ago,False
UgzegWMhwgtrZFnMwQZ4AaABAg,"Nice discussion,thank you🎉",0,@desalegndejene2830,UCRBR7vuhVAs_rQXWufipOcw,1750204800,2 weeks ago,False
Ugz4dx_jYZ2VC6PFJbJ4AaABAg,Ministry of innovation Bijay Nayker ....❤,0,@LemraSolomon,UC7RBdE5sYWj69z_Ek2O8Cyw,1750204800,2 weeks ago,False
UgwLNrGa6Vr8PZKjIFl4AaABAg,ሶል ጥያቄዎችህ በጣም ሃሪፍ ነበሩ - Thank you. ቢጄ በተፈጥሮው ቀና በእኛ አገር ብዙም ባልተለመለደ መልኩ ሰዎች ሲሰሩ የሚደሰት እንደመሆኑ ተሞክሮውን ያዘንበዋል - አይምሮህ ይባረክ ማለት እወዳለሁ። ቀጣይ ፕሮግራሙን በጉጉት እንጠብቃለን ኢንሻዓላህ።,0,@seidmohammed2575,UCVdbEvLwcgClxePHLEQrQAA,1749600000,3 weeks ago,False
Ugxk_3qkPK7_LQplgxZ4AaABAg,"I guarantee that this only conversations with the geniuses spark the brain that will change  Ethiopia """""""" Thank You.",1,@mettik1562,UC4kxP3LpBAtxS6D2Qau31nw,1749600000,3 weeks ago,False
UgysHDih4zhsIztWmAx4AaABAg,"I found this guy very comfortable,he did what engineering is.  I am a Hydraulic and Water Resources Engineer, and I don't have any skills regarding this,I blame my self always.I wish I meet Engineer BJI, May Saint George bless you.  I hope I will meet you one day.",0,@israelyenealem9742,UCigIU0HxXxNAv1bizD2qHDQ,1750204800,2 weeks ago (edited),False
