video_id,video_title,channel_url,comment_id,text,author,likes,timestamp
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgyZc1vQHAuQ6f6Dyeh4AaABAg","ኦ ሀማስ እጅክ ይባረክ የቀሩትንም ጨርሳቸው🇵🇸✊","@FDHH-h7c7m",7,"1752264000"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgyZc1vQHAuQ6f6Dyeh4AaABAg.AKTamS3A9gxAKTgLff_pHQ","እህትዋ ሀማስ የህልም እሩጫ ነዉ የያዘዉ በሱ ምክናየት መስሎኝ ላይሆንለት ገጥሞ ወይም ተኩሎ ስት እናቶች እህቶች ህፃናቶች አዛዉቶች አገራቸዉ ፈረሰ ምን አመጣ ምንም ሁቲ  የመን ለየመን ህዝብ ምን አመጣላቸዉ ምንም ግን ሁደይዳ ከተማ ያሉ የመናዊያኖች እደት እደሆኑ ብታዪ ለቅሶም አይበቃ ከሁለቶር በፊት ነዉ ሁደይዳን ያወደሟት የየመን የገቢ ምጭ የነበረች ከተማ ወደቧ ስት መርከብ ይቆምባት ነበር እዛ ያሉ ዜጎች አድቀንም ሳያስቡ ይኖሩ ነበር ስራ አለ በቀንም በለሊትም. የኛ ኢትዮጲያኖችም ከመቶ አስር ፖርሰት የሚሆኑ ኢትዮጲዊያኖች የቀን ስራ እየሰሩ በዶራል በየመን ብር የሚከፈላቸዉ ነበሩ ከፊሌጋ እየሄድኩ በደብ አቀዉ ነበር የሁደይዳን ኑሮ ባለፈዉ ሳምት ሂደን አልቅሼ ነዉ የተመለስኩት የማይለምን ህዝብ የለም ተመኪና ስትወርጂ እህትዋ ጦርነት አስበዉበት አዉጥተሽ አዉርደሽ ነዉ መግባት የመንንና ጋዛን ያያ ሁቲንና ሀማስን መደገፍ ወጀል ነዉ ያስብላል ከምር 😢😢😢😢😢😢😢😢😢😢😢😢","@HussinSaide",1,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgxoprTytCYes9y-5gR4AaABAg","''ያ''ን ረስተካል","@heroadh1930",3,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgxXqBfx84YWuncQF0h4AaABAg","እነዚያ ወራሪዎች ህልማቸውን እያለሙ ከእንቅልፋቸው ሳይነቁ  የአሏህ በላዕ ይውረድባቸው ድል ለፊሊስጢኖች","@personperson4914",1,"1752270600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgxzHZr-Gzq5W96OMS14AaABAg","ነዳጅ በትግራይ 300 ብር በጣም ርካሽ ነው  መሃል ኢትዮጵያ ዉስጥም 250--300  ስለሆነ","@Sudais-y6i",1,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgwdyhpeoZR2QERI74F4AaABAg","አሰላም አሌይኩም ወድ የኢሰላም ልጀች ኘሮፍይሌን ተጭናቹ ኑ የነቢያችንን ውብ ሀዲሶች እንማማር አሄራችንን እናሰታወሰ ወዴች😢😢","@Tybatube",1,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgzdE7YzmcHbV5M7Ewd4AaABAg","መቼም ምእራባውያን ፈጣሪዎቻቹ ናቸው😂😂
በኣለም በፍላጎት ምትገዙ ኣገር ኢትዮጵያ ‼️","@adeytube6750",0,"1752271362"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgwvnPW4GrQoPa81z2d4AaABAg","መልካም ሲኦል","@HussainAhemd-w9f",1,"1752267600"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","UgyIfNMFOEEkJb8cVDx4AaABAg","😢😢😢😢😢","@sssaef",1,"1752264000"
"yFOqdNl6XXs","Ethiopia - የተቋረጠው ድርድርና ያልታሰበው ጉዞ፣ ትራምፕ ሊመጡ ነው፣ በትግራይ ነዳጅ ጠፋ፣ በጋዛ የተገደሉት ኢትዮጵያዊን፣ የኢትዮጵያና ሩሲያ ስምምነት","https://www.youtube.com/@fetadailynews1","Ugz47DekSEX0aa2nrNR4AaABAg","😮😮😮","@qedamawitube9138",1,"1752264000"
